Soil_Moisture,Soil_Temp,Water_Level,Pump_State,Water_Pressure,Water_Flow,Label
6.297044754,22.22997856,18.67968941,63,13.68669605,11.02651787,1
6.16,22.42,39.28147111,64,1.069835705,19.78237535,0
6.187389374,22.41620445,39.28309631,64,1.745029569,31.10987282,0
6.16,22.42,39.28147111,64,1.108973052,20.50446966,0
6.16,22.42,39.28147111,64,1.72342941,31.84135032,0
6.16,22.42,39.28147111,64,0.491744466,9.116440657,0
5.940000057,22.20000076,18.69177437,32,1000,799.9998779,1
6.16,22.42,39.28147111,64,0.844959028,15.6333418,0
6.16,22.42,39.28147111,64,1.323168494,24.45643164,0
6.16,22.42,39.28147111,64,0.317909413,5.909138433,0
5.941682339,22.20001221,18.69312286,57,513.3048706,23.84485817,1
6.16,22.42,39.28147111,64,1.014880346,18.76843459,0
6.21784687,22.20056534,18.69321442,64,6.222636223,6.325136185,1
6.163174152,22.41594315,39.2775383,64,0.993297279,19.70935059,0
6.16,22.42,39.09196711,64,0.019568674,0.404673686,0
6.151700497,22.41839409,39.28178024,64,0.315200597,7.225080967,0
6.16,22.42,39.28147111,64,1.126014106,20.81888156,0
6.16,22.42,39.28147111,64,0.812915325,15.04212708,0
6.251110077,22.21687508,18.69215584,63,21.68948555,20.58525467,1
6.16,22.42,39.28147111,64,1.770475763,32.70936786,0
6.16,22.42,39.28147111,64,0.881487219,16.30729649,0
6.16,22.42,39.28147111,64,1.222308288,22.59553443,0
6.28511095,22.22981071,18.68007851,63,43.26733017,30.86118698,1
6.16,22.42,39.28147111,64,0.129724,2.437068294,0
6.16,22.42,39.28147111,64,0.648620001,12.01083535,0
6.16,22.42,39.28147111,64,1.546251376,28.57236921,0
6.189800262,22.41668892,39.28386307,64,1.553872824,29.6864624,0
6.16,22.42,39.28147111,64,1.691059562,31.24411815,0
6.16,22.42,39.28147111,64,0.439153655,8.146126429,0
6.16,22.42,39.28147111,64,1.939255575,35.82339957,0
6.244560242,22.21554947,18.69290733,63,11.04431438,6.676368237,1
6.16,22.42,39.28147111,64,0.827510294,15.31140809,0
6.274326324,22.22841263,18.68129921,63,20.11269379,12.17886448,1
6.16,22.42,39.28147111,64,0.421134168,7.813662174,0
6.16,22.42,39.28147111,64,0.571079131,10.580186,0
6.16,22.42,39.28147111,64,0.15190183,2.84625507,0
6.245103836,22.21891022,18.69115067,63,12.46256924,12.1480732,1
6.16,22.42,39.28147111,64,0.98984875,18.30659511,0
6.16,22.42,39.28147111,64,0.391781157,7.272091442,0
6.16,22.42,39.28147111,64,1.996657018,3.9,0
6.16,22.42,39.28147111,64,1.391169636,25.71107051,0
6.16,22.42,39.28147111,64,1.688124261,31.18996108,0
6.273107529,22.22769547,18.68694878,62,31.81489563,21.89692497,1
6.226666667,22.21,18.69321558,64,0,0,1
5.940000057,22.20000076,18.67967987,32,1000,800,1
6.16,22.42,39.28147111,64,1.329528313,24.57377197,0
6.061159134,22.20019722,18.69320679,63,6.720747948,5.453858376,1
6.16,22.42,39.28147111,64,1.076032451,19.89670695,0
6.16,22.42,39.28147111,64,1.022381671,18.906836,0
6.251945019,22.41946983,39.08697128,64,0.013657551,0.00018501,0
6.16,22.42,39.28147111,64,1.481593216,27.37940923,0
6.16,22.42,39.28147111,64,0.526968079,9.766325536,0
6.166755676,22.22590065,18.67976189,46,100.9468689,22.59760857,1
6.16,22.42,39.28147111,64,1.367931836,25.28232701,0
6.239151001,22.20984268,18.69290543,63,14.21423149,10.43296051,1
6.16,22.42,39.28147111,64,1.338334217,24.73624319,0
5.947042942,22.20001221,18.69315529,63,113.8533096,6.074597359,1
6.16,22.42,39.28147111,64,0.788454482,14.59081814,0
6.16,22.42,39.28147111,64,1.28500958,23.75238969,0
6.292416573,22.22989082,18.67980957,62,20.0064106,8.382077217,1
6.263660431,22.21893311,18.69132996,63,19.88711166,12.26682472,1
6.188580036,22.41740799,39.27783585,64,1.090404153,19.95591927,0
